                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.58488,                0.66338,                0.42356,                0.88155,                0.91782,                0.87636,                0.93049,                0.78995,                0.91131,                0.90121,                 0.9429,                 0.7445,                0.65855,                0.77745,                0.50293,                0.95045,             0.00054082,             0.00054082,             0.00054082
                     52,                0.56461,                0.67492,                0.41116,                0.86593,                0.89398,                0.89598,                0.93908,                0.80084,                0.90756,                0.90799,                0.94867,                0.75451,                0.66248,                0.76432,                0.48828,                 0.9469,             0.00053728,             0.00053728,             0.00053728
                     53,                0.58348,                0.63168,                 0.3949,                0.87435,                0.89603,                0.86794,                0.91717,                0.78316,                0.91164,                0.87935,                0.92831,                0.72222,                 0.6622,                0.79367,                 0.5192,                0.94945,             0.00053375,             0.00053375,             0.00053375
                     54,                0.55662,                0.62022,                0.38501,                0.86118,                 0.9159,                0.90888,                0.93916,                0.79167,                0.94125,                0.91321,                0.94799,                0.74531,                0.66788,                0.75249,                0.47581,                0.94934,             0.00053022,             0.00053022,             0.00053022
                     55,                0.59428,                 0.6216,                0.39427,                0.87866,                0.89987,                0.85866,                0.91846,                0.77237,                 0.9134,                0.86659,                0.92384,                0.71126,                0.69966,                0.81234,                0.53671,                0.95589,             0.00052668,             0.00052668,             0.00052668
                     56,                0.58649,                0.63759,                0.38943,                 0.8744,                0.89224,                0.90881,                0.92674,                0.79642,                0.91017,                0.90966,                0.94075,                0.74832,                0.66363,                0.73789,                0.48081,                0.95064,             0.00052315,             0.00052315,             0.00052315
                     57,                0.54982,                0.59474,                0.37987,                 0.8623,                 0.9062,                0.89867,                 0.9351,                0.79678,                0.92939,                0.90226,                0.94853,                0.74595,                0.67334,                0.77464,                0.46402,                 0.9577,             0.00051961,             0.00051961,             0.00051961
                     58,                0.58078,                0.61471,                0.39163,                 0.8696,                0.87743,                0.84351,                0.90429,                0.75776,                0.89612,                0.85918,                 0.9219,                0.72108,                0.71868,                0.92023,                0.54413,                 1.0123,             0.00051608,             0.00051608,             0.00051608
                     59,                0.51324,                0.59087,                0.35623,                0.83981,                0.90381,                0.86238,                0.91298,                0.77904,                0.92187,                0.87238,                0.92189,                0.74663,                 0.6535,                0.76551,                0.52518,                0.94393,             0.00051254,             0.00051254,             0.00051254
                     60,                0.57905,                 0.6237,                0.38555,                0.89542,                0.91329,                0.88693,                0.93009,                0.79349,                0.93022,                0.90196,                0.94416,                0.74931,                0.64665,                0.74554,                0.46237,                0.94713,             0.00050901,             0.00050901,             0.00050901
                     61,                0.58011,                0.62682,                0.38625,                0.86152,                0.92344,                0.90871,                0.93879,                0.79524,                0.93487,                0.91467,                0.94789,                0.75353,                0.65592,                0.73674,                0.44851,                0.95805,             0.00050548,             0.00050548,             0.00050548
                     62,                0.53245,                0.61553,                0.36453,                0.86617,                0.90261,                0.88483,                0.92643,                0.79235,                0.91162,                0.90886,                0.93974,                0.74731,                0.66026,                0.72593,                0.47865,                0.95725,             0.00050194,             0.00050194,             0.00050194
                     63,                0.55641,                 0.6391,                0.39419,                0.86241,                0.90856,                 0.9128,                0.94349,                0.79934,                0.92986,                0.92494,                0.95229,                0.74834,                0.67643,                0.75676,                0.47312,                0.95615,             0.00049841,             0.00049841,             0.00049841
